,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
414,HNX,Cơ điện Dzĩ An,189.0,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2001,86.0,0.0,0.097,http://www.dzima.com,3.5,-0.017,-0.042,-0.504,5.4,5.4,CT,DZM,,,,
415,HOSE,Quỹ ETF SSIAM VNX50,302.0,8985,Dịch vụ tài chính,Financial Services,2014,0.0,0.0,0.571,http://www.ssi.com.vn/AssetManagement.aspx,5.0,-0.013,-0.035,-0.007,8.8,8.8,QU,FUESSV50,,,,
416,HOSE,Quỹ ETF DCVFMVN30,302.0,8985,Dịch vụ tài chính,Financial Services,2014,0.0,0.0,0.925,https://dragoncapital.com.vn,5.0,0.007,0.026,0.017,460.4,460.4,QU,E1VFVN30,,,,
417,HNX,Sách Giáo dục Hà Nội,256.0,5557,Truyền thông,Media,2004,88.0,812.0,0.083,http://www.sachgiaoduchanoi.vn,4.0,-0.067,-0.002,0.254,10.0,10.2,CT,EBS,,,,
418,UPCOM,Đầu tư XD và Kỹ thuật 29,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2012,562.0,225.0,0.0,http://www.congty29.vn,3.5,0.007,-0.088,-0.349,5.0,5.0,CT,E29,,,,
419,HNX,Bản đồ và tranh ảnh GD,256.0,5557,Truyền thông,Media,2007,40.0,98.0,0.048,http://www.bandotranhanh.vn,3.9,-0.017,-0.042,0.372,1.8,1.9,CT,ECI,,,,
420,UPCOM,Tài chính giáo dục,336.0,8633,Bất động sản,Real Estate,2007,33.0,678.0,0.0,http://www.efi.vn,3.8,0.026,-0.042,-0.083,10.9,10.9,CT,EFI,,,,
421,HOSE,Eximbank,289.0,8355,Ngân hàng,Banks,1992,6136.0,0.0,0.083,http://www.eximbank.com.vn,3.7,-0.028,-0.004,-0.108,1475.3,1481.4,NH,EIB,,,,
422,HNX,Phát triển GD Hà Nội,256.0,5557,Truyền thông,Media,2007,135.0,1457.0,0.219,http://www.heid.vn,4.3,-0.027,-0.114,0.194,15.0,15.0,CT,EID,,,,
423,HOSE,ELCOM,314.0,9578,Công nghệ Thông tin,Technology,2003,223.0,208.0,0.038,http://www.elcom.com.vn,3.6,0.066,0.124,-0.135,58.8,58.8,CT,ELC,,,,
424,HOSE,Cơ điện Thủ Đức,187.0,2737,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1976,128.0,723.0,0.002,http://www.codientd.com,3.2,-0.017,0.035,-0.243,15.3,15.3,CT,EMC,,,,
425,UPCOM,Điện Cơ,187.0,2737,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1999,75.0,204.0,0.031,http://www.emec.vn,3.6,-0.017,-0.042,-0.425,3.8,3.8,CT,EME,,,,
426,UPCOM,Thiết bị phụ tùng cơ điện,187.0,2737,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2005,50.0,136.0,0.0,http://www.emesco.com.vn,3.5,-0.017,-0.042,1.782,3.0,3.0,CT,EMG,,,,
427,UPCOM,Chuyển phát nhanh Bưu điện,190.0,2771,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2015,1861.0,879.0,0.021,http://www.ems.com.vn,3.9,0.009,-0.001,-0.077,21.0,21.0,CT,EMS,,,,
428,UPCOM,Cà Phê Ea Pốk,216.0,3537,Thực phẩm và đồ uống,Food & Beverage,1993,634.0,0.0,0.0,http://www.eapokcafe.com,3.3,-0.017,-0.067,0.681,9.4,9.4,CT,EPC,,,,
429,HOSE,Quỹ ETF SSIAM VNFIN LEAD,302.0,8985,Dịch vụ tài chính,Financial Services,2019,0.0,0.0,0.975,http://www.ssi.eom.vn/ssiam/san-pham-va-dich-vu-ssiam,5.0,0.029,0.061,0.023,240.8,240.8,QU,FUESSVFL,,,,
430,HOSE,Everpia,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2007,1360.0,52.0,0.703,http://www.everpia.vn,4.0,0.039,0.063,0.09,42.0,42.0,CT,EVE,,,,
431,HOSE,Tập đoàn Everland,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2009,20.0,1398.0,0.002,http://www.everland.vn,3.6,-0.029,-0.058,-0.464,215.2,215.2,CT,EVG,,,,
432,HOSE,Tài chính Điện lực,298.0,8773,Dịch vụ tài chính,Financial Services,2008,487.0,58137.0,0.001,http://www.evnfc.vn,3.6,-0.021,-0.103,-0.252,351.1,351.1,NH,EVF,,,,
433,UPCOM,EVN Quốc Tế,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2008,30.0,1764.0,0.0,http://www.evni.vn,4.1,0.023,0.008,0.199,36.7,36.7,CT,EIC,,,,
434,HOSE,BĐS Điện lực Miền Trung,336.0,8633,Bất động sản,Real Estate,2007,123.0,26286.0,0.0,http://www.lec.com.vn,3.4,0.089,-0.027,-0.282,26.1,26.1,CT,LEC,,,,
435,UPCOM,Phát hành sách TP HCM - FAHASA,256.0,5557,Truyền thông,Media,1976,2200.0,525.0,0.0,http://www.fahasasg.com.vn,3.8,0.013,-0.052,0.436,12.8,12.8,CT,FHS,,,,
436,UPCOM,Xây dựng FLC FAROS,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2011,776.0,16963.0,0.019,http://www.flcfaros.vn/Default.aspx,3.6,,,,567.6,567.6,CT,ROS,,,,
437,UPCOM,Tập đoàn Quốc tế FBA,221.0,3726,Hàng cá nhân & Gia dụng,Personal & Household Goods,2003,31.0,0.0,0.01,http://www.uslight.vn,3.7,-0.017,-0.042,0.286,3.4,3.4,CT,FBA,,,,
438,HOSE,Khoáng sản FECON,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2007,423.0,3204.0,0.029,http://www.feconmining.com.vn,3.9,-0.022,-0.057,-0.336,45.1,45.1,CT,FCM,,,,
439,HOSE,FECON CORP,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004,1392.0,23990.0,0.331,http://www.fecon.com.vn,3.2,-0.004,0.048,-0.285,157.4,157.4,CT,FCN,,,,
440,HOSE,FIDECO,336.0,8633,Bất động sản,Real Estate,1993,174.0,0.0,0.0,http://www.fidecovn.com,3.6,-0.033,-0.234,-0.222,38.6,38.6,CT,FDC,,,,
441,UPCOM,VLXD số 1,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2010,67.0,163.0,0.0,http://www.fico.com.vn,3.3,0.027,0.084,-0.1,127.0,127.0,CT,FIC,,,,
442,HNX,Đầu tư và PT doanh nghiệp VN,339.0,8637,Bất động sản,Real Estate,2010,6.0,3953.0,0.0,http://www.vndi.vn,3.5,0.05,-0.042,-0.504,24.7,24.7,CT,FID,,,,
443,HOSE,Địa ốc First Real,336.0,8633,Bất động sản,Real Estate,2014,36.0,415.0,0.009,https://fir.vn/,3.9,-0.022,-0.018,0.716,53.5,53.5,CT,FIR,,,,
444,UPCOM,Đóng tàu thủy sản VN,188.0,2753,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2006,68.0,179.0,0.0,http://www.dongtauthuysan.vn,3.6,-0.017,-0.042,0.242,5.6,5.6,CT,FSO,,,,
445,HOSE,Tập đoàn F.I.T,299.0,8775,Dịch vụ tài chính,Financial Services,2007,2122.0,8731.0,0.0,http://www.fitgroup.com.vn,3.5,-0.02,-0.052,-0.388,339.9,339.9,CT,FIT,,,,
446,UPCOM,Tập đoàn FLC,336.0,8633,Bất động sản,Real Estate,2008,10000.0,32571.0,0.022,http://www.flc.vn,3.6,-0.017,,-0.418,710.0,710.0,CT,FLC,,,,
447,HNX,Chứng khoán BOS,300.0,8777,Dịch vụ tài chính,Financial Services,2008,28.0,14425.0,0.007,http://www.artexsc.com.vn,3.9,-0.017,-0.042,-0.567,96.9,96.9,CK,ART,,,,
448,HOSE,Thực phẩm Sao Ta,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2003,4647.0,2767.0,0.314,http://www.fimexvn.com,4.0,-0.018,0.045,-0.132,65.4,65.4,CT,FMC,,,,
449,UPCOM,FPT Online,255.0,5555,Truyền thông,Media,2007,321.0,110.0,0.042,http://www.fptonline.net,4.0,-0.017,-0.049,0.083,18.4,18.5,CT,FOC,,,,
450,UPCOM,Cơ khí Phổ Yên,189.0,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2004,1011.0,222.0,0.0,http://www.fomeco.vn,4.1,-0.017,-0.042,0.709,3.7,3.7,CT,FBC,,,,
451,UPCOM,Lương thực TP Hồ Chí Minh,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,2008,196.0,446.0,0.0,http://www.foodcosa.vn,3.1,-0.017,-0.042,0.369,29.5,29.5,CT,FCS,,,,
452,UPCOM,Lâm nghiệp Sài Gòn,155.0,1733,Tài nguyên Cơ bản,Basic Resources,2010,47.0,394.0,0.0,http://www.forimex.vn,3.2,-0.017,-0.042,0.503,11.7,11.7,CT,FRM,,,,
453,HNX,Dược Phẩm TW3,238.0,4577,Y tế,Health Care,2003,303.0,306.0,0.011,http://www.duocphamtw3.com,4.3,-0.081,-0.123,0.244,8.6,8.6,CT,DP3,,,,
454,UPCOM,Phát triển Đức Quân,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2006,279.0,6098.0,0.003,http://www.fortex.com.vn,3.4,-0.017,-0.109,-0.481,50.0,50.0,CT,FTM,,,,
455,HOSE,FPT Corp,310.0,9537,Công nghệ Thông tin,Technology,2002,37882.0,48598.0,0.49,https://www.fpt.com.vn,3.6,-0.011,-0.057,0.2,1097.0,1097.0,CT,FPT,,,,
456,HOSE,Bán lẻ FPT,253.0,5379,Bán lẻ,Retail,2012,10078.0,8981.0,0.29,http://frt.vn,3.1,-0.079,-0.178,-0.126,118.5,118.5,CT,FRT,,,,
457,HOSE,Chứng khoán FPT,300.0,8777,Dịch vụ tài chính,Financial Services,2007,453.0,2199.0,0.252,http://www.fpts.com.vn,3.9,0.163,0.418,-0.137,195.1,195.1,CK,FTS,,,,
458,UPCOM,Lâm đặc sản xuất khẩu Quảng Nam,155.0,1733,Tài nguyên Cơ bản,Basic Resources,2015,579.0,246.0,0.0,http://www.forexco.com.vn,3.7,-0.103,0.028,0.02,3.0,3.0,CT,FRC,,,,
459,UPCOM,Phụ tùng máy số 1,189.0,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2008,1100.0,942.0,0.004,http://www.futu1.com.vn,3.7,-0.017,0.085,0.492,7.1,7.1,CT,FT1,,,,
460,UPCOM,FPT Telecom,267.0,6535,Viễn thông,Telecommunications,2005,9412.0,564.0,0.0,http://www.fpt.vn,4.0,-0.015,-0.046,0.003,328.3,328.3,CT,FOX,,,,
461,UPCOM,Công nghiệp - Thương mại Hữu Nghị,212.0,3355,Ô tô và phụ tùng,Automobiles & Parts,2005,19.0,104.0,0.0,http://www.ftic.vn,3.4,-0.017,-0.042,0.041,3.9,3.9,CT,FTI,,,,
462,HOSE,Quỹ ETF MAFM VN30,302.0,8985,Dịch vụ tài chính,Financial Services,2020,0.0,0.0,0.832,http://www.fundmanagement-miraeasset.com.vn,5.0,0.003,0.022,0.007,27.6,27.6,QU,FUEMAV30,,,,
463,HOSE,Quỹ ETF SSIAM VN30,302.0,8985,Dịch vụ tài chính,Financial Services,2020,0.0,0.0,0.324,http://www.ssi.com.vn/ssiam/thong-tin-chung-ssiam-vn30,5.0,0.002,0.02,0.004,6.7,6.7,QU,FUESSV30,,,,
464,HOSE,Quỹ ETF DCVFMVN DIAMOND,302.0,8985,Dịch vụ tài chính,Financial Services,2020,0.0,0.0,0.968,https://dragoncapital.com.vn,5.0,0.003,-0.015,0.045,823.3,823.3,QU,FUEVFVND,,,,
465,HOSE,Quỹ ETF VINACAPITAL VN100,302.0,8985,Dịch vụ tài chính,Financial Services,2019,0.0,0.0,0.18,http://www.vinacapital.com,5.0,0.006,0.01,-0.033,18.5,18.5,QU,FUEVN100,,,,
466,UPCOM,Đầu tư Dệt may Vĩnh Phúc,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2010,250.0,110.0,0.001,http://www.ghome.vn,3.6,-0.184,-0.417,-0.451,14.4,14.4,CT,G20,,,,
467,HOSE,Đầu tư Khai khoáng và Quản lý Tài sản FLC,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2016,45.0,305.0,0.003,https://flcgab.vn,3.4,-0.017,-0.042,0.286,14.9,14.9,CT,GAB,,,,
468,UPCOM,May10,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2004,6935.0,1223.0,0.0,http://www.garco10.com.vn,3.8,0.021,-0.004,0.123,30.2,30.2,CT,M10,,,,
469,HOSE,PV Gas,275.0,7573,"Điện, nước & xăng dầu khí đốt",Utilities,1990,3800.0,10295.0,0.03,http://www.pvgas.com.vn,4.1,-0.021,-0.062,0.237,1914.0,1914.0,CT,GAS,,,,
470,UPCOM,Ngân hàng Bản Việt,289.0,8355,Ngân hàng,Banks,1992,1487.0,15941.0,0.001,http://www.vietcapitalbank.com.vn,3.4,0.022,0.085,-0.091,513.9,367.1,NH,BVB,,,,
471,HOSE,Gỗ Đức Thành,221.0,3726,Hàng cá nhân & Gia dụng,Personal & Household Goods,2000,1223.0,2148.0,0.217,http://www.goducthanh.com,3.8,-0.032,-0.153,-0.104,21.3,21.7,CT,GDT,,,,
472,HNX,Cấp nước Gia Định,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,1991,322.0,297.0,0.057,http://www.capnuocgiadinh.vn,3.9,-0.069,0.401,0.125,9.5,9.5,CT,GDW,,,,
473,HOSE,Tập đoàn Gelex,187.0,2737,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2012,10665.0,3914.0,0.121,https://gelex.vn,3.8,-0.009,0.036,-0.382,851.5,851.5,CT,GEX,,,,
474,UPCOM,Thiết bị điện GELEX,187.0,2737,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2016,470.0,105.0,0.0,https://gelex-electric.com,3.5,0.01,0.058,-0.051,300.0,300.0,CT,GEE,,,,
475,HOSE,Tổng Công ty Phát điện 3,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2012,2478.0,2009.0,0.0,http://www.genco3.com,3.8,0.007,-0.034,-0.136,1123.5,1123.5,CT,PGV,,,,
476,UPCOM,Thể thao Ngôi sao Geru,150.0,1353,Hóa chất,Chemicals,2006,130.0,101.0,0.0,http://www.gerusport.com.vn,3.9,-0.03,0.158,-0.11,2.2,2.2,CT,GER,,,,
477,UPCOM,Ôtô Giải Phóng,211.0,3353,Ô tô và phụ tùng,Automobiles & Parts,2001,37.0,0.0,0.021,http://www.giaiphong.com.vn,3.4,-0.09,-0.234,-0.31,29.4,29.4,CT,GGG,,,,
478,UPCOM,Thủy điện Gia Lai,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2002,75.0,3994.0,0.006,https://ghc.vn,4.1,-0.013,-0.046,0.203,47.7,47.7,CT,GHC,,,,
479,UPCOM,Cà Phê Gia Lai,216.0,3537,Thực phẩm và đồ uống,Food & Beverage,1996,31.0,175.0,0.0,http://www.gialaicoffee.com.vn,3.4,-0.017,-0.042,0.286,14.7,14.7,CT,FGL,,,,
480,UPCOM,Cấp thoát nước Gia Lai,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2010,115.0,134.0,0.0,http://www.capnuocgialai.com,3.5,-0.017,-0.029,1.286,18.0,18.0,CT,GLW,,,,
481,HOSE,XNK Bình Thạnh,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2000,1992.0,0.0,0.025,http://www.gilimex.com,4.1,0.004,0.006,-0.468,70.0,70.0,CT,GIL,,,,
